phrase,translation,comment,source,idiom
stiff,"გაშეშებული, ხისტი",,,
I was scared stiff.,შიშისგან გავშეშდი.,,,
It will do you good.,ეს მოგიხდება შენ.,,,
most sought after,ყველაზე მოთხოვნადი,,,
die out,ამოწყდე,,,
I don't want these beautiful butterflies to die out.,"მე არ მინდა, რომ ეს ლამაზი პეპლები ამოწყდნენ.",,,
be on the verge of extinction,იყო გადაშენების ზღვარზე,,,
uninhabited island.,დაუსახლებელი კუნძული,,,
May you always be happy!,"დაე, ყოველთვის ბედნიერი იყო!",,,
When I was at university...,როცა უნივერსიტეტში ვსწავლობდი...,,,
unofficial,არაოფიციალური,,,
touristy places,ტურისტული ადგილები,,,
formality,ფორმალობა,,,
Don't spill this syrup on/onto this carpet!,არ დაღვარო ეს სიროფი ამ ხალიჩაზე!,,,
Is this city in the northern hemisphere?,ეს ქალაქი ჩრდილოეთ ნახევარსფეროშია?,,,
disorders,აშლილობები,,,
anxiety,შფოთვა,,,
in this cage,ამ გალიაში,,,
Shall I put this letter in/into this envelope?,ამ კონვერტში ჩავდო შენი წერილი?,,,
Are you a risky person?,რისკზე წამსვლელი ადამიანი ხარ?,,,
Today we will talk about what causes stress.,დღეს ვისაუბრებთ იმაზე თუ რა იწვევს სტრესს.,,,
Don't tell me such things! I have a good opinion of this person.,"ნუ მეუბნები ასეთ რაღაცეებს, მე კარგი წარმოდგენა მაქვს ამ ადამიანზე.",,,
Will I have to take a lie detector test?,მომიწევს სიცრუის დეტექტორის ტესტზე გასვლა?,,,
Think twice before you decide to move to Canada.,კარგად დაფიქრდი სანამ გადაწყვეტ კანადაში საცხოვრებლად გადასვლას.,,,
It's not surprising at all that Mariam has made such a big progress in the last two months.,"საერთოდ არ არის გასაკვირი, რომ მარიამმა ასეთი პროგრესი განიცადა ამ 2 თვეში.",,,
It will be unwise not to take this opportunity and thank your team.,"ძალიან არაბრძნული გადაწყვეტილება იქნება შენი მხრიდან, არ ისარგებლო ამ შემთხვევით, რომ მადლობა გადაუხადო შენს გუნდს.",,,
This bread has a hard crust.,ამ პურს მაგარი კანი აქვს.,,,
Can you make a thin-crust pizza (that/which) everyone will love?,"შეგიძლია გააკეთო თხელკანიანი პიცა, რომელიც ყველას მოეწონება.",,,
I was elected by secret ballot a fortnight ago.,მე ამირჩიეს ფარული კენჭისყრით 2 კვირის წინ.,,,
They rejected this project outright.,მათ დიდი უარი უთხრეს ამ პროექტს.,,,
Go there right away!,ახლავე წადი იქ!,,,
Go there outright!,ახლავე წადი იქ!,,,
Go there straight away!,ახლავე წადი იქ!,,,
Go there immediately!,ახლავე წადი იქ!,,,
be eager to do sth.,გინდოდეს რაღაცის გაკეთება,,,
spicy,სანელებლებიანი,,,
main course,მთავარი კერძი,,,
appetite,მადა,,,
appetizing,მადის აღმძვრელი,,,
stale,ძველი პური (ან ჰაერი),,,
ripe,მწიფე,,,
ripen,დამწიფება,,,
rare,ნაკლებად შემწვარი (ჯერ კიდევ წითელი ხორცი),,,
medium,საშუალოდ შემწვარი,,,
well done,კარგად (ბოლომდე) შემწვარი,,,
lean,"მჭლე, უქონო ხორცი",,,
tough,მაგარი ხორცი,,,
tender,რბილი ხორცი,,,
raw,"უმი, ნედლი",,,
rich,მსუყე,,,
fattening,გამასუქებელი (საჭმელი),,,
I have bittersweet memories.,მწარე-ტკბილი მოგონებები მაქვს.,,,
Many people can't be bothered to do their homework.,ბევრ ადამიანს ეზარება (თავს არ იწუხებს) საშინაო დავალების შესრულება.,,,
aging,დაბერება,,,
I don't give a shit [about it]!,მკიდია!,,,
stance,"პოზიცია, შეხედულება",,,
service,წირვა,,,
self-service,თვითმომსახურება,,,
Fold this letter in half.,გადაკეცე ეს წერილი შუაზე.,,,
ham,"ლორი, შაშხი",,,
Add salt to taste.,დაიმატეთ მარილი გემოვნებით.,,,
curry,კარი (ინდური საჭმელი),,,
bland,უგემური,,,
tasteless,უგემური,,,
I'm delighted to see you!,"მოხარული ვარ, რომ გხედავ.",,,
delightful,"მომხიბლავი, სასიამოვნო",,,
tart,ტარტი,,,
dessert,დესერტი,,,
swan lake,გედების ტბა,,,
vote in favor of sth.,რაღაცის სასარგებლოდ მისცე ხმა,,,
vote against sth.,ხმა მისცე რაღაცის წინააღმდეგ,,,
to voice your concerns,გააჟღერო შენი საკითხები (რაც გაწუხებს),,,
I couldn't care less [about sth],საერთოდ არ მაინტერესებს.,,,
instant coffee,სწრაფად მომზადებადი ყავა,,,
cereal,ბურღულეული,,,
packed lunch,"საჭმელი, რომელიც შეიძლება წაიღო სამსახურში, სკოლაში",,,
canteen,"ბუფეტი, სასადილო (ოფისში, სკოლაში და ა.შ.)",,,
heat sth. up,გააცხელო რამე,,,
treat sb. to sth.,დაპატიჟო ვინმე რამეზე,,,
treat yourself to sth.,მისცე შენს თავს რამე განსაკუთრებული,,,
tin opener,კონსერვის ქილის გასახსნელი,,,
can opener,კონსერვის ქილის გასახსნელი,,,
greasy,"ცხიმიანი, ქონიანი",,,
lap,კალთა,,,
Don't just sit there.,უაზროდ ნუ ზიხარ მანდ.,,,
You mean the world to me.,შენ ბევრს ნიშნავ ჩემთვის,,,
Who is Sofi going out with?,ვის ხვდება სოფი?,,,
Who is Sofi dating with?,ვის ხვდება სოფი?,,,
Sofi is in a relationship.,სოფი ურთიერთობაშია.,,,
One day you will buy this car.,ერთ მშვენიერ დღესაც შენ იყიდი ამ მანქანას.,,,
a drop in the ocean.,ზღვაში წვეთი,,,
cite,მოახდინო ციტირება,,,
quote,მოახდინო ციტირება,,,
turn your back to sb.,ზურგი შეაქციო ვინმეს,,,
flattering,"სასიამოვნო, პირფერული",,,
flatter sb.,"კომპლიმენტით ასიამოვნო ვინმე, პირფერობა",,,
tasteless,უგემოვნო,,,
tasteful,გემოვნებიანი,,,
John is rich while his brother is poor.,"ჯონი მდიდარია, მაშინ როცა მისი ძმა ღარიბია.",,,
cork,საცობი,,,
corkscrew,"კორპსაძრობი, შტოპორი",,,
screw,"ხრახნი, ჭანჭიკი",,,
screw sb.,fuck sb.,,,
screwdriver,სახრახნისი,,,
screw up,"გააფუჭორ რამე, ჩაგივარდეს საქმე (fail)",,,
inexperinced,გამოუცდელი,,,
strap,"ჩანთის გადასაკიდებელი, საათის სამაჯური",,,
corrupt officials,კორუმპირებული ჩინოსნები,,,
obidient,"დამჯერი, მორჩილი",,,
erect barriers,აღმართო ბარიერები,,,
uphold the rule of law,უზრუნველჰყოფდე კანონის უზენაესობას,,,
I made it clear that...,"ნათელი მოვფინე იმას, რომ",,,
advocates of this change,ამ ცვლილების მომხრეები,,,
blank screen,ჩამქრალი ეკრანი,,,
"nod, v. (dd)",თავის დაკვრა თანხმობის ნიშნად,,1200,
"sigh, v.",ოხვრა,,1200,
"shrug, v. (gg)",მხრების აჩეჩვა,,1200,
"How should I know?, he shrugged","საიდან უნდა ვიცოდე, მან თქვა მხრების აჩეჩვით",,1200,
"cough, v.",ხველება,,1200,
have a cough,გახველებდეს,,1200,
You have a bad cough!,ცუდად ახველებ!,,1200,
"sneeze, v.",ცემინება,,1200,
blow your nose,ხვენა,,1200,
clear your throat,"ყელის გაწმენდა (ყურადღების მისაპყრობად, ლაპარაკის დაწყებამდე)",,1200,
"promote, v.",დაწინაურება,,1200,
"promotion, n.",დაწინაურება,,1200,
I've got/been promoted at work!,სამსახურში დამაწინაურეს!,,1200,
Congratulations on your promotion!,გილოცავ დაწინაურებას!,,1200,
"treat, v.","მოპყრობა, მკურნალობა",,1200,
"treatment, n.","მოპყრობა, მკურნალობა",,1200,
beat sb at sth,"დაამარცხო ვინმე რაღაცაში (თამაშში, შეჯიბრებაში)",,1200,
John can beat anyone at poker,ჯონს ნებისმიერი ადამიანის დაამარცხება შეუძლია პოკერში,,1200,
"brag, v. (gg) (to sb about/of sth)",იტრაბახო რაღაცით ვიღაცასთან,,1200,
Why are you always bragging about how high your salary is?,"რატომ ტრაბახობ ყოველთვის იმით, თუ რამდენად მაღალია შენი ხელფასი?",,1200,
"boast, v. (about/of sth)",იტრაბახო რაღაცით,,1200,
"I don't want to boast, but I speak five languages.","არ მინდა ტრაბახში ჩამეთვალოს, მაგრამ მე ხუთ ენაზე ვსაუბრობ.",,1200,
Stop boasting/bragging!,გეყო ტრაბახი!,,1200,
"guest, n.",სტუმარი,,1200,
"host, n.",მასპინძელი,,1200,
"hospitable, adj.",სტუმართმოყვარე,,1200,
"hospitality, n.",სტუმართმოყვარეობა,,1200,
"develop, v.",განვითარება,,1200,
"development, n.",განვითარება,,1200,
"developing, adj.",განვითარებადი,,1200,
"developed, adj.",განვითარებული,,1200,
developmental stage,განვითარებადი სტადია,,1200,
developing/developed countries,განვითარებადი/განვითარებული ქვეყნები,,1200,
sustainable development,მდგრადი განვითარება,,1200,
get used to (ing) sth,მიეჩვიო რაღაცის გაკეთებას,,1200,
I'm trying to get used to living alone,მე ვცდილობ შევეჩვიო მარტო ცხოვრებას,,1200,
exchange sth for sth,რაღაცის გაცვლა რაღაცის სანაცვლოდ,,1200,
exchange rate,გაცვლითი კურსი,,1200,
intend to do sth,განზრახული გქონდეს რაღაცის გაკეთება,,1200,
"intention, n.",განზრახვა,,1200,
"brotherly, adj.",ძმური,,1200,
"brotherhood, n.",ძმობა,,1200,
"stain, n.",ლაქა,,1200,
"spot, n.",ლაქა,,1200,
"stain, v.",დალაქავება,,1200,
This shirt stains easily,ეს მაისური ადვილად ლაქავდება,,1200,
tell a lie,ტყუილის თქმა,,1200,
tell the truth,სიმართლის თქმა,,1200,
"trivial, adj.","ბანალური, უმნიშვნელო, მარტივი",,1200,
"I know it sounds trivial, but ...","ვიცი ბანალურად ჟღერს, მაგრამ ...",,1200,
have a row with sb (over sth),იჩხუბო ვიღაცასთან (რაღაცაზე),,1200,
make (it) up with sb,შეურიგდე ვიღაცას,,1200,
John and I had a row yesterday but we have already made (it) up.,"მე და ჯონმა ვიჩხუბეთ გუშინ, მაგრამ უკვე შევრიგდით.",,1200,
in a row,"ზედიზედ, მიყოლებით",,1200,
Can people sneeze more than three times in a row?,შეუძლიათ ადამიანებს ზედიზედ სამზე მეტჯერ დააცემინონ?,,1200,
approve of sb/sth,მოგწონდეს ვიღაც/რაღაც,,1200,
disapprove of sb/sth,არ მოგწონდეს ვიღაც/რაღაც,,1200,
manage to do sth,მოახერხო რაღაცის გაკეთება,,1200,
"fire, n.","ცეცხლი, ხანძარი",,1200,
start/light a fire,ცეცხლის ანთება,,1200,
extinguish/put out a fire,ცეცხლის ჩაქრობა,,1200,
set fire to sth,ცეცხლი წაუკიდო რაღაცას,,1200,
"fire extinguisher, n.",ცეცხლის ჩამქრობი ბალონი,,1200,
"firefighter, n.",მეხანძრე,,1200,
"fire engine, n.",სახანძრო მანქანა,,1200,
"candle, n.",სანთელი,,1200,
"candlestick, n.",შანდალი,,1200,
light a candle,სანთლის ანთება,,1200,
blow out a candle,სანთლის ჩაქრობა,,1200,
"tragedy, n.",ტრაგედია,,1200,
"tragic, adj.",ტრაგიკული,,1200,
"tragically, adv.",ტრაგიკულად,,1200,
"disaster, n.",კატასტროფა,,1200,
"disastrous, adj.",კატასტროფული,,1200,
miss sb,გენატრებოდეს ვიღაც,,1200,
I miss you a lot/very much!,ძალიან მენატრები!,,1200,
miss a lesson/lecture/seminar,გაკვეთილის/ლექციის/სემინარის გაცდენა,,1200,
miss a bus/train,ვერ მიუსწრო ავტობუსს/მატარებელს,,1200,
"road, n.",ტრასა,,1200,
"congested, adj.",მანქანებით გადატვირთული,,1200,
congested roads,გადატვირთული ტრასები,,1200,
traffic congestion,მანქანების გადატვირთული მოძრაობა,,1200,
Traffic congestion is becoming a serious problem in our city.,მანქანების გადატვირთული მოძრაობა სერიოზული პრობლემა ხდება ჩვენს ქალაქში.,,1200,
rush hour,პიკის საათი,,1200,
The streets in Tbilisi are heavily congested at/during rush hour.,თბილისში ქუჩები ძალიან გადატვირთულია მანქანებით პიკის საათის დროს.,,1200,
"traffic, n.","მანქანების ერთობლიობა, რომელიც ტრასაზეა კონკრეტულ მომენტში",,1200,
heavy traffic,გადატვირთული მოძრაობა,,1200,
There is always a lot of traffic on this road at this time of day.,ამ ტრასაზე ყოველთვის ძალიან გადატვირთულია მოძრაობა დღის ამ დროს.,,1200,
"traffic jam, n.",საცობი (ტრასაზე),,1200,
"traffic lights, n.",შუქნიშანი,,1200,
"suit, n.",შარვალ-კოსტუმი,,1200,
at times,"ხანდახან, ზოგჯერ",,1200,
sometimes,"ხანდახან, ზოგჯერ",,1200,
"current, adj.",მიმდინარე,,1200,
"currently, adv.",ამჟამად,,1200,
"difficulty, n.",სიძნელე,,1200,
have difficulty (in) doing sth,გიჭირდეს რაღაცის კეთება,,1200,
Julia has difficulty (in) getting up early in the morning,ჯულიას უჭირს დილით ადრე ადგომა,,1200,
"overcome, v. (overcame,overcome)",გადალახვა,,1200,
overcome difficulties,სიძნელეების გადალახვა,,1200,
gain experience,გამოცდილების შეძენა,,1200,
acquire experience,გამოცდილების შეძენა,,1200,
"jar, n.","ქილა, ბანკა",,1200,
"jug, n.",დოქი,,1200,
"jaw, n.",ყბა,,1200,
"intermediary, n.",შუამავალი,,1200,
trip over sth,ფეხი წამოკრა რაღაცას,,1200,
"invent, v.",გამოგონება,,1200,
"invention, n.",გამოგონება,,1200,
"inventor, n.",გამომგონებელი,,1200,
"poet, n.",პოეტი,,1200,
"poem, n.",პოემა,,1200,
"proper, adj.",სათანადო,,1200,
"properly, adv.",წესიერად,,1200,
My TV isn't working properly. Can you help me (to) fix it?,ჩემი ტელევიზორი წესიერად არ მუშაობს. შეგიძლია დამეხმარო მის შეკეთებაში?,,1200,
"wire, n.",მავთული,,1200,
"wireless, adj.",უმავთულო,,1200,
"wise, adj.",ბრძნული,,1200,
"wisdom, n.",სიბრძნე,,1200,
"unwise, adj.",არაბრძნული,,1200,
change for the better/worse,უკეთესობისკენ/უარესობისკენ შეცვლა,,1200,
human rights and liberties,ადამიანის უფლებები და თავისუფლებები,,1200,
property rights,საკუთრების უფლებები,,1200,
"pocket, n.",ჯიბე,,1200,
pocket money,ჯიბის ფული,,1200,
"pocket knife, n.",ჯიბის დანა,,1200,
"spouse, n.",მეუღლე,,1200,
"adolescent, n.",მოზარდი,,1200,
"adolescent, adj.",მოზარდი,,1200,
adolescent boys/girls,მოზარდი ბიჭები/გოგონები,,1200,
"adolescence, n.",მოზარდობის პერიოდი,,1200,
"adult, n.","მოზრდილი, ზრდასრული ადამიანი",,1200,
"jet, n.",თვითმფრინავი,,1200,
"trial, n.",სასამართლო განხილვა,,1200,
"blade, n.",დანის / სამართებლის მჭრელი პირი,,1200,
"bleak, adj.","უიმედო (მომავალზე, პროგნოზზე), არასასიამოვნო (ამინდზე)",,1200,
"bleed, v. (bleed,bled,bled)",სისხლის დენა,,1200,
"bleeding, n.",სისხლდენა,,1200,
"internal, adj.",შინაგანი,,1200,
"external, adj.",გარეგანი,,1200,
"explode, v.",აფეთქება,,1200,
"blow sth up, phr. v.",რაღაცის აფეთქება,,1200,
"blast, n.",აფეთქება,,1200,
"explosion, n.",აფეთქება,,1200,
"bald, adj.",მელოტი,,1200,
go bald,გამელოტება,,1200,
My mind went blank,გავითიშე (წარსულში),,1200,
make sb cross,ძალიან გააბრაზო ვინმე,,1200,
explain sth to sb,აუხსნა რაღაც ვინმეს,,1200,
let me explain!,მომეცი საშუალება აგიხსნა!,,1200,
get rid of sb/sth,ვიღაცის/რაღაცის თავიდან მოშორება,,1200,
get into the habit of doing sth,მიეჩვიო რაღაცის კეთებას,,1200,
kick the habit of doing sth,გადაეჩვიო რაღაც ცუდის გაკეთებას,,1200,
"fashion, n.",მოდა,,1200,
"fashionable, adj.",მოდური,,1200,
"fashionably, adv.",მოდურად,,1200,
fashionably dressed,მოდურად ჩაცმული,,1200,
go out of fashion,მოდიდან გასვლა,,1200,
"tender, adj.",ნაზი,,1200,
"tenderly, adv.",ნაზად,,1200,
"tenderness, n.",სინაზე,,1200,
"inhale, v.",ჩასუნთქვა,,1200,
"breathe in, v.",ჩასუნთქვა,,1200,
"exhale, v.",ამოსუნთქვა,,1200,
"breathe out, v.",ამოსუნთქვა,,1200,
It hasn't been long since ...,"დიდი ხანი არ გასულა მას შემდეგ, რაც ...",,1200,
Has it been long since ... ?,"დიდი ხანი გავიდა მას შემდეგ, რაც ... ?",,1200,
hardly ever,თითქმის არასდროს,,1200,
almost never,თითქმის არასდროს,,1200,
"occasion, n.","შემთხვევა, როცა რაღაც ხდება",,1200,
on several occasions,რამდენჯერმე,,1200,
- Do you know John?,შენ იცნობ ჯონს?,,1200,
- We've met on several occasions,ჩვენ რამდენჯერმე შევხვედრივართ ერთმანეთს,,1200,
"occasional, adj.","იშვიათი, არახშირი",,1200,
I'm an occasional smoker,მე იშვიათად ვეწევი,,1200,
"occasionally, adv.",იშვიათად,,1200,
"rare, adj.",იშვიათი,,1200,
"rarely, adv.",იშვიათად,,1200,
"wax, n.",ცვილი,,1200,
lose consciousness,გონების დაკარგვა,,1200,
regain consciousness,გონებაზე მოსვლა,,1200,
"Customs, n.",საბაჟო,,1200,
"customs officer, n.",მებაჟე,,1200,
"kidney, n.",თირკმელი,,1200,
go blind,დაბრმავება,,1200,
"resign, n.",თანამდებობიდან გადადგომა,,1200,
"resignation, n.",თანამდებობიდან გადადგომა,,1200,
"pinch, v.",ჩქმეტა,,1200,
"punch, v.",მუშტის დარტყმა,,1200,
"kick, v.",წიხლის ამორტყმა,,1200,
"guilt, n.","დანაშაული, დანაშაულის გრძნობა",,1200,
"guilty, adj.",დამნაშავე,,1200,
"innocent, adj.",უდანაშაულო,,1200,
"innocence, n.",უდანაშაულობა,,1200,
"justice, n.",სამართლიანობა,,1200,
"injustice, n.",უსამართლობა,,1200,
Lucky you!,როგორ გაგიმართლა! რა იღბლიანი ხარ!,,1200,
Poor you!,შე საბრალოვ!,,1200,
"prejudice, n.",არასწორი შეხედულება / აზრი,,1200,
"superstition, n.","ცრურწმენა (შავი კატის გადარბენაზე, სარკის გატეხვაზე)",,1200,
"pants, n. (Am.E.)",შარვალი,,1200,
"trousers, n. (Br.E.)",შარვალი,,1200,
"cheap, adj.",იაფი,,1200,
"expensive, adj.",ძვირი,,1200,
"pricey, adj. (informal)",ძვირი,,1200,
"affordable, adj.",ხელმისაწვდომი (ფასზე),,1200,
"success, n.",წარმატება,,1200,
"successful, adj.",წარმატებული,,1200,
"unsuccessful, adj.",წარუმატებელი,,1200,
"successfully, adv.",წარმატებულად,,1200,
"unsuccessfully, adv.",წარუმატებლად,,1200,
"succeed, v. (in doing sth)",წამატების მოპოვება (რაღაცის გაკეთებაში),,1200,
"terrific, adj.",ძალიან მაგარი,,1200,
You look terrific today!,დღეს ძალიან მაგრად გამოიყურები!,,1200,
casual clothes,"არაფორმალური, კომფორტული ტანსაცმელი",,1200,
designer clothes,ბრენდიანი ტანსაცმელი,,1200,
"dress up, phr.v.",გამოპრანჭვა,,1200,
"flat, n. / apartment, n.",ბინა,,1200,
"block, n.",კორპუსი,,1200,
"rent, n.","ქირა, რენტა",,1200,
"rent, v. (sth from sb)",ქირაობა (რაღაცის ვიღაცისგან),,1200,
"rent, v. (sth (out) to sb)",გაქირავება (რაღაცის ვიღაცაზე),,1200,
"space, n.","სივრცე, კოსმოსი",,1200,
office space,საოფისე ფართი,,1200,
buy/rent office space,იყიდო/იქირაო საოფისე ფართი,,1200,
hire (sb),დაქირავება (ვიღაცის),,1200,
You need to hire a good lawyer,შენ უნდა დაიქირაო კარგი იურისტი,,1200,
afford to do sth,ფინანსურად გაწვდე რაღაცის გაკეთებას,,1200,
John can't afford to rent such a big flat/apartament.,ჯონს არ შეუძლია ფინანსურად გაწვდეს ასეთი დიდი ბინის ქირაობას.,,1200,
"refuse, v. (to do sth)",უარის თქმა (რაღაცის გაკეთებაზე),,1200,
"refusal, n.",უარი,,1200,
"soap, n.",საპონი,,1200,
"soup, n.",სუპი,,1200,
"show off, phr. v. (informal, disapproving)",მარიაჟობა,,1200,
"show off, n. (informal, disapproving)",მარიაჟი ადამიანი,,1200,
"Yes, that's true. John really likes to show off in public.","კი, ეს მართალია. ჯონს ნამდვილად უყვარს მარიაჟობა საზოგადოებაში.",,1200,
"flu, n.",გრიპი,,1200,
"virus, n.",ვირუსი,,1200,
"bird, n.","ჩიტი, ფრინველი",,1200,
"nest, n.",ბუდე,,1200,
"nestling, n.",ბარტყი,,1200,
Bird flu,ჩიტის გრიპი,,1200,
Go ahead!,დაიწყე!,,1200,
Well done!,ყოჩაღ!,,1200,
wear sth to somewhere,გეცვას რამე სადღაც,,1200,
What are you going to wear to the party?,რის ჩაცმას აპირებ წვეულებაზე?,,1200,
invite sb to somewhere,დაპატიჟო ვიღაც სადმე,,1200,
What are you doing on Thursday evening? I want to invite you to the cinema.,რას აკეთებ ხუთშაბათს საღამოს? მინდა დაგპატიჟო კინოში.,,1200,
"rectangle, n.",მართკუთხედი,,1200,
"rectangular, adj.",მართკუთხედის ფორმის,,1200,
"triangle, n.",სამკუთხედი,,1200,
"triangular, adj.",სამკუთხედის ფორმის,,1200,
"corner, n.",კუთხე,,1200,
"mathematics, n.",მათემატიკა,,1200,
"maths (BrE, iniformal), n. / math (AmE, iniformal), n.",მათემატიკა,,1200,
"mathematician, n.",მათემატიკოსი,,1200,
"mathematical, adj.",მათემატიკური,,1200,
"mathematically, adv.",მათემატიკურად,,1200,
"arithmetic, n.",არითმეტიკა,,1200,
"algebra, n.",ალგებრა,,1200,
"geometry, n.",გეომეტრია,,1200,
"trigonometry, n.",ტრიგონომეტრია,,1200,
"angle, n.",კუთხე (გეომეტრიაში),,1200,
"branch, n.","ტოტი (ხის), ფილიალი (ორგანიზაციის), განხრა (მეცნიერების)",,1200,
"Branches of mathematics include arithmetic, algebra, geometry and trigonometry.","მათემატიკის განხრებია არითმეტიკა, ალგებრა, გეომეტრია და ტრიგონომეტრია.",,1200,
"invitation, n. (to somewhere)","მოსაწვევი, დაპატიჟება (სადმე)",,1200,
accept an invitation,დაპატიჟების მიღება,,1200,
turn down/decline an invitation,დაპატიჟების არმიღება,,1200,
accept an offer,შეთავაზების/წინადადების მიღება,,1200,
turn down/dicline an offer,შეთავაზების/წინადადების არ მიღება,,1200,
"offer, n.","შეთავაზება, წინადადება",,1200,
"offer, v.","შეთავაზება, წინადადების მიცემა",,1200,
give sb a lift to somewhere,მანქანით გაიყვანო ვიღაც სადმე,,1200,
Will you give me a lift home/to work?,სახლში/სამსახურში გამიყვან მანქანით?,,1200,
"homework, n. / home assignment, n.",საშინაო დავალება,,1200,
draw sb's attention to sth,მიაპყრო ვიღაცის ყურადღება რაღაცას,,1200,
"Could/Can/May I have your attention, please?",ყურადღება თუ შეიძლება,,1200,
"vanish, v.",გაუჩინარება,,1200,
"disappear, v.",გაუჩინარება,,1200,
without a trace,უკვალოდ,,1200,
"not only ..., but (also) ...","არა მხოლოდ ... , არამედ ...",,1200,
"charisma, n.",ქარიზმა,,1200,
"charismatic, adj.",ქარიზმატული,,1200,
"cycle, n.",ციკლი,,1200,
"bicycle, n.",ველოსიპედი,,1200,
"cycling, n.","ველოსპორტი, ველოსიპედით კატაობა",,1200,
"cyclist, n.",ველოსიპედისტი,,1200,
"cylinder, n.",ცილინდრი,,1200,
"cylindrical, adj.",ცილინდრის ფორმის,,1200,
"cyclone, n.",ციკლონი,,1200,
shout at sb,უყვირო ვიღაცას,,1200,
get sb wrong,ვიღაცის არასწორად გაგება,,1200,
I think you got me wrong,მემგონი არასწორად გამიგე,,1200,
We still have much work ahead,ჩვენ ჯერ კიდევ ბევრი სამუშაო გვაქვს წინ,,1200,
contact sb,დაუკავშირდე ვიღაცას,,1200,
try to do sth,სცადო რაღაცის გაკეთება,,1200,
I've been trying to contact you for the last two weeks.,"ბოლო 2 კვირაა, რაც ვცდილობ შენთან დაკავშირებას.",,1200,
in advance,წინასწარ,,1200,
Thank you/Thanks in advance,წინასწარ გმადლობთ,,1200,
Let me know in advance if you need my help.,"წინასწარ შემატყობინე, თუ დაგჭირდება ჩემი დახმარება.",,1200,
Would you like a cup of coffee/tea?,ყავას/ჩაის ხომ არ მიირთმევთ?,,1200,
"Yes, please","დიახ, თუ შეიძლება",,1200,
"No, thanks","არა, გმადლობთ",,1200,
be by sb's side,იყო ვიღაცის გვერდით,,1200,
I'll always be by your side,მე ყოველთვის შენს გვერდით ვიქნები,,1200,
be able to do sth,შეგეძლოს რაღაცის გაკეთება,,1200,
Will you be able to send us all the documents by Friday?,თქვენ შეძლებთ ყველა დოკუმენტის ჩვენთვის გადმოგზავნას პარასკევამდე?,,1200,
be looking forward to doing sth,ერთი სული გქონდეს გააკეთო რაღაც,,1200,
I'm looking forward to meeting you on Tuesday evening.,სულმოუთმენლად ველოდები შენთან შეხვედრას სამშაბათს საღამოს.,,1200,
be conscious/aware of sth,"იცოდე რაღაც, აცნობიერებდე რაღაცას",,1200,
"ripen, v.",დამწიფება (ხილზე),,1200,
"ripe, adj.",მწიფე (ხილზე),,1200,
"unripe, adj.",არამწიფე (ხილზე),,1200,
"mature, adj.","გონებრივად მომწიფებული, ზრდასრული, დაღვინებული (ადამიანზე)",,1200,
"immature, adj.","აზროვნებით მოუმწიფებელი, არაზრდასრული (ადამიანზე)",,1200,
"maturity, n.","მომწიფებულობა, ზრდასრულობა",,1200,
"immaturity, n.",მოუმწიფებლობა,,1200,
"sex, n.","სექსი, სქესი",,1200,
"sexuality, n.",სექსუალურობა,,1200,
"sexy, adj.",სექსუალური (ადამიანზე),,1200,
"sexual, adj.",სექსთან დაკავშირებული,,1200,
"sexually, adv.",სექსუალურად,,1200,
sexual maturity,სექსუალური მომწიფებულობა,,1200,
sexually attractive,სექსუალურად მიმზიდველი,,1200,
sexually transmitted diseases (STDs),სექსუალური გზით გადამდები დაავადებები,,1200,
"exclamation mark, n.",ძახილის ნიშანი,,1200,
"question mark, n.",კითხვის ნიშანი,,1200,
"questionnaire, n.",კითხვარი,,1200,
"complete, v.","დამთავრება, დასრულება",,1200,
This project should be completed within a year.,ეს პროექტი უნდა დასრულდეს ერთ წელიწადში.,,1200,
Could you be so kind Sir/Madam to complete our questionnaire?,შეგიძლიათ შეავსოთ ბატონო/ქალბატონო ჩვენი კითხვარი?,,1200,
"complete, adj.","სრული, მთლიანი",,1200,
"incomplete, adj.","არასრული, არამთლიანი",,1200,
"completely, adv.",სრულიად,,1200,
I completely agree with what Julia has just said.,"სრულიად ვეთანხმები იმას, რაც ჯულიამ ახლახანს თქვა.",,1200,
"completion, n.","დასრულება, დამთავრება",,1200,
congratulate sb on sth,ვიღაცისთვის რაღაცის მილოცვა,,1200,
I would like to congratulate you all on your successful completion of the course.,მსურს მოგილოცოთ ყველას კურსის წარმატებით დამთავრება.,,1200,
"compliment, n.","კომპლიმენტი, ქათინაური",,1200,
I'll take that as a compliment!,ამას კომპლიმენტად მივიღებ!,,1200,
"compliment, v. (sb on sth)",კომპლიმენტის თქმა (ვიღაცისთვის რაღაცაზე),,1200,
John complimented Julia on her excellent German.,ჯონმა კომპლიმენტი გაუკეთა ჯულიას მის ბრწყინვალე გერმანულზე.,,1200,
the Stone Age,ქვის ხანა,,1200,
the Ice Age,გამყინვარების პერიოდი,,1200,
the Middle Ages,შუა საუკუნეები,,1200,
"middleman, n.",შუამავალი,,1200,
"spinster, n.","შინაბერა, გაუთხოვარი ქალი",,1200,
"sibling, n. (formal)",დედმამიშვილი (და ან ძმა),,1200,
Do you have any brothers or sisters?,და ან ძმა გყავს?,,1200,
I don't have any brothers or sisters,მე არ მყავს და ან ძმა,,1200,
"precise, adj.",ზუსტი,,1200,
"precisely, adv.",ზუსტად,,1200,
"precision, n.",სიზუსტე,,1200,
